objek,deskripsi,kategori,kata_kunci,difficulty
Berkebun,Hobi menanam dan merawat tanaman bunga sayuran atau buah di halaman rumah atau pot,Hobi,"tanam tanaman bunga sayur pot pupuk siram merawat halaman taman",easy
Kipas Angin,Alat elektronik dengan baling-baling berputar untuk menghasilkan angin sejuk di ruangan,Elektronik,"angin sejuk baling-baling putar dingin hembus fan cooling AC",easy
Penguin,Burung yang tidak bisa terbang hidup di Antartika dengan bulu hitam putih dan berenang handal,Hewan,"burung antartika es salju hitam putih tidak terbang renang dingin kutub",medium
Polisi,Profesi penegak hukum yang menjaga keamanan masyarakat dan menangkap pelaku kejahatan,Profesi,"hukum keamanan seragam tangkap kejahatan patrol sipil militer pistol satpam",easy
Mangga,Buah tropis dengan kulit kuning atau hijau daging oranye manis dan biji besar di tengah,Makanan,"buah tropis manis kuning hijau harum oranye biji jus arumanis gedong",easy
Merajut,Hobi kerajinan tangan membuat kain dari benang menggunakan jarum rajut untuk sweater atau syal,Hobi,"kerajinan benang jarum kain sweater syal rajutan tangan membuat hangat",medium
Sandal,Alas kaki terbuka ringan untuk dipakai santai di rumah atau ke pantai dengan tali penjepit,Alat,"kaki alas terbuka ringan jepit pantai rumah santai nyaman sendal",easy
Buaya,Reptil besar predator air tawar dengan rahang kuat gigi tajam dan kulit bersisik keras,Hewan,"reptil predator air rahang gigi tajam sungai rawa berbahaya buas kuat",medium
Wartawan,Profesi yang mencari menulis dan melaporkan berita untuk media cetak televisi atau online,Profesi,"berita media jurnalis liputan wawancara menulis koran TV reporter press",medium
Roti,Makanan pokok dari adonan tepung terigu yang dipanggang dengan tekstur lembut atau renyah,Makanan,"tepung terigu panggang oven lembut tawar manis renyah bakery sarapan",easy
Memancing,Hobi menangkap ikan dengan pancing umpan dan kesabaran di sungai danau atau laut,Hobi,"ikan pancing umpan kesabaran sungai danau laut kail joran strike tangkap",easy
Tas Ransel,Tas punggung dengan dua tali bahu untuk membawa barang buku atau perlengkapan bepergian,Alat,"tas punggung bahu bawa sekolah kuliah travel backpack carrier hiking",easy
Koala,Marsupial Australia berbulu abu-abu yang hidup di pohon eucalyptus dan tidur hingga 20 jam sehari,Hewan,"marsupial australia abu-abu eucalyptus tidur malas pohon imut lucu kantong",medium
